,Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
4911,Sports Car,Extended,Offer2,Employed,Married,High School or Below,2.0,132.0,98.206649,61148.0,15956.51879
4912,Sports Car,Basic,Offer2,Medical Leave,Married,High School or Below,2.0,106.0,763.2,28879.0,12023.75062
4913,Four-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,7.0,68.0,326.4,0.0,5152.819636
4914,Four-Door Car,Basic,Offer3,Employed,Married,College,1.0,72.0,240.241499,31591.0,2764.802284
4915,Two-Door Car,Extended,Offer4,Employed,Married,Bachelor,4.0,93.0,243.547316,89285.0,7443.83286
4916,Four-Door Car,Basic,Offer1,Employed,Married,College,2.0,69.0,331.2,67326.0,19644.76296
4917,Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,6.0,83.0,456.519419,92653.0,6674.455913
4919,SUV,Basic,Offer3,Employed,Married,Bachelor,1.0,100.0,59.860273,93621.0,4029.723325
4920,Sports Car,Extended,Offer1,Employed,Married,College,1.0,126.0,604.8,45867.0,5010.917847
4921,Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,2.0,83.0,527.421579,44817.0,9886.656416
4922,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,69.0,331.2,91757.0,2745.129849
4923,Luxury Car,Basic,Offer1,Employed,Married,College,2.0,183.0,145.587985,78965.0,22195.80299
4924,SUV,Basic,Offer1,Unemployed,Single,College,8.0,116.0,820.018767,0.0,8083.541953
4925,SUV,Basic,Offer3,Employed,Single,Bachelor,3.0,112.0,537.6,28743.0,8716.368952
4926,Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,65.0,149.688222,94303.0,7908.452072
4929,Four-Door Car,Premium,Offer1,Unemployed,Single,High School or Below,3.0,107.0,770.4,0.0,7664.80924
4930,Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,6.0,71.0,337.727542,88055.0,5738.277584
4931,SUV,Basic,Offer1,Employed,Divorced,College,3.0,100.0,71.773341,75497.0,7951.777533
4933,Four-Door Car,Extended,Offer3,Retired,Married,College,1.0,77.0,369.6,17752.0,2831.587689
4934,SUV,Extended,Offer3,Unemployed,Married,College,1.0,130.0,23.820158,0.0,4737.871725
4935,Four-Door Car,Basic,Offer1,Employed,Married,College,5.0,70.0,336.0,52220.0,5536.386959
4936,SUV,Premium,Offer2,Employed,Married,Bachelor,2.0,185.0,888.0,24964.0,58753.88046
4937,Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,8.0,62.0,446.4,0.0,4558.592305
4938,SUV,Extended,Offer1,Unemployed,Single,Bachelor,9.0,125.0,615.562164,0.0,8558.927723
4939,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,64.0,151.670029,41059.0,2544.337548
4940,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,5.0,72.0,29.303915,29460.0,5754.853121
4941,SUV,Basic,Offer1,Unemployed,Married,High School or Below,2.0,104.0,499.2,0.0,11293.98192
4942,Four-Door Car,Basic,Offer4,Employed,Divorced,Bachelor,2.0,62.0,297.6,30895.0,7126.471703
4943,Four-Door Car,Basic,Offer3,Unemployed,Single,College,5.0,67.0,747.458052,0.0,4734.257944
4944,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,9.0,67.0,321.6,88567.0,5452.171237
4945,Two-Door Car,Basic,Offer4,Employed,Divorced,Bachelor,1.0,64.0,307.2,41247.0,2521.684392
4948,Two-Door Car,Extended,Offer2,Employed,Married,Doctor,2.0,94.0,33.747903,51840.0,34090.03598
4949,Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,2.0,64.0,772.83851,0.0,11228.28966
4950,Four-Door Car,Basic,Offer1,Employed,Single,College,5.0,65.0,40.757983,93303.0,5157.642282
4951,Four-Door Car,Basic,Offer2,Unemployed,Single,Bachelor,1.0,64.0,731.479725,0.0,2030.783687
4952,Four-Door Car,Basic,Offer2,Unemployed,Single,Bachelor,1.0,65.0,468.0,0.0,2337.356699
4953,Two-Door Car,Basic,Offer1,Employed,Single,High School or Below,3.0,72.0,204.620759,57925.0,5583.068307
4954,Four-Door Car,Extended,Offer1,Employed,Married,Master,5.0,81.0,388.8,47259.0,6515.026481
4955,Two-Door Car,Basic,Offer3,Employed,Married,College,2.0,68.0,86.912677,32555.0,7927.182997
4956,SUV,Basic,Offer2,Employed,Married,Bachelor,1.0,114.0,388.346716,90156.0,4554.911887
4957,Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2.0,67.0,314.143133,85483.0,8096.312478
4958,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,6.0,71.0,340.8,77646.0,5723.535705
4959,Four-Door Car,Basic,Offer4,Employed,Divorced,Master,1.0,70.0,104.209216,61807.0,2784.969185
4961,Sports Car,Basic,Offer4,Employed,Married,High School or Below,1.0,102.0,615.243841,57506.0,4082.170583
4962,SUV,Basic,Offer1,Retired,Married,High School or Below,3.0,112.0,537.6,28120.0,8560.162384
4963,Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,2.0,67.0,482.4,0.0,20940.30306
4965,Four-Door Car,Basic,Offer3,Unemployed,Single,Bachelor,9.0,72.0,345.6,0.0,4767.687852
4966,Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,3.0,65.0,302.818833,40169.0,5119.414293
4967,SUV,Extended,Offer1,Medical Leave,Divorced,College,1.0,130.0,624.0,23811.0,4869.596443
4968,Two-Door Car,Extended,Offer2,Unemployed,Married,Doctor,1.0,85.0,595.160486,0.0,3187.351993
4969,Two-Door Car,Extended,Offer1,Unemployed,Married,Bachelor,9.0,82.0,192.7604,0.0,6234.305918
4971,Four-Door Car,Premium,Offer2,Unemployed,Single,College,1.0,103.0,741.6,0.0,3548.397966
4972,Four-Door Car,Premium,Offer2,Unemployed,Married,Bachelor,2.0,117.0,561.6,0.0,12877.7765
4973,Two-Door Car,Extended,Offer1,Unemployed,Single,College,1.0,82.0,393.6,0.0,2643.71574
4974,Two-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,2.0,81.0,561.414794,38736.0,9597.474777
4975,Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,1.0,80.0,134.371323,58248.0,3157.742637
4976,Luxury SUV,Extended,Offer1,Medical Leave,Married,Bachelor,2.0,242.0,1350.379181,18047.0,36293.14678
4977,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,68.0,293.205349,96339.0,2746.121383
4978,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,2.0,73.0,203.640251,38113.0,8598.185237
4979,Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,1.0,70.0,504.0,0.0,2523.171245
4980,Two-Door Car,Basic,Offer3,Employed,Married,College,1.0,66.0,261.549577,49625.0,2652.067994
4982,SUV,Extended,Offer1,Employed,Married,College,2.0,126.0,302.033971,58778.0,44795.46942
4983,Two-Door Car,Premium,Offer1,Unemployed,Single,College,2.0,116.0,835.2,0.0,12313.16484
4984,Four-Door Car,Basic,Offer3,Employed,Single,Bachelor,2.0,61.0,147.080303,75217.0,7173.909404
4985,SUV,Premium,Offer4,Employed,Married,High School or Below,2.0,148.0,710.4,23031.0,35227.29912
4986,Luxury SUV,Extended,Offer1,Employed,Married,Bachelor,2.0,244.0,494.395024,34226.0,29091.23936
4988,Four-Door Car,Basic,Offer1,Unemployed,Single,College,6.0,63.0,453.6,0.0,4574.547243
4989,SUV,Extended,Offer3,Employed,Married,Bachelor,6.0,129.0,412.829624,72334.0,10103.64886
4990,Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,1.0,67.0,350.529033,52822.0,2672.095756
4991,Four-Door Car,Basic,Offer4,Employed,Married,College,2.0,70.0,106.737787,72117.0,8364.559003
4992,Four-Door Car,Extended,Offer3,Employed,Single,College,5.0,85.0,372.893812,64008.0,5970.995737
4993,Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,3.0,71.0,340.8,0.0,5331.823882
4994,Four-Door Car,Basic,Offer4,Employed,Single,College,2.0,61.0,292.8,99722.0,7320.98824
4995,Four-Door Car,Premium,Offer1,Employed,Married,Bachelor,1.0,105.0,504.0,58299.0,4165.252177
4996,Four-Door Car,Basic,Offer3,Employed,Married,College,4.0,64.0,203.568733,78460.0,5137.852105
4997,Four-Door Car,Premium,Offer1,Employed,Married,Doctor,9.0,107.0,41.283167,67763.0,8663.363959
4998,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,3.0,61.0,334.007478,43199.0,4892.617128
4999,Two-Door Car,Extended,Offer1,Employed,Married,Bachelor,2.0,85.0,117.467331,32869.0,20120.56053
5000,Four-Door Car,Premium,Offer1,Employed,Married,Bachelor,8.0,102.0,601.074585,31506.0,8083.917906
5001,Two-Door Car,Basic,Offer2,Retired,Single,Bachelor,3.0,62.0,297.6,21004.0,4312.869599
5002,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,5.0,71.0,475.166267,26409.0,5686.743252
5003,SUV,Basic,Offer1,Employed,Married,High School or Below,4.0,102.0,414.713588,43877.0,8186.095915
5004,Two-Door Car,Basic,Offer1,Medical Leave,Married,Bachelor,3.0,72.0,345.6,29120.0,5556.91458
5005,Four-Door Car,Basic,Offer3,Retired,Divorced,Doctor,5.0,62.0,297.6,19186.0,4518.782768
5006,SUV,Extended,Offer4,Unemployed,Married,College,9.0,131.0,628.8,0.0,9472.956706
5007,Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,1.0,61.0,292.8,0.0,2150.178588
5009,SUV,Premium,Offer1,Employed,Divorced,Bachelor,2.0,149.0,270.373444,67739.0,29199.81072
5010,Luxury SUV,Basic,Offer1,Employed,Married,College,1.0,186.0,892.8,52380.0,7360.873696
5011,Two-Door Car,Basic,Offer2,Employed,Married,Master,9.0,65.0,263.844471,76646.0,5226.286197
5012,Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,2.0,74.0,232.01349,0.0,8105.872317
5013,SUV,Extended,Offer3,Retired,Married,High School or Below,1.0,126.0,604.8,18866.0,4873.436612
5014,Four-Door Car,Basic,Offer1,Employed,Married,College,2.0,66.0,419.464143,25378.0,7854.960831
5015,Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,1.0,69.0,384.811147,56274.0,2763.519279
5016,SUV,Extended,Offer1,Employed,Married,Bachelor,3.0,138.0,619.698644,78011.0,11077.68591
5017,Two-Door Car,Extended,Offer1,Unemployed,Single,College,3.0,91.0,655.2,0.0,6239.257541
5018,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,1.0,68.0,326.4,39618.0,2712.832687
5019,Four-Door Car,Premium,Offer1,Employed,Married,College,3.0,106.0,712.682559,59888.0,8453.677668
5020,SUV,Basic,Offer2,Employed,Married,Bachelor,1.0,100.0,207.510821,33282.0,3944.231185
5021,SUV,Extended,Offer2,Employed,Married,High School or Below,5.0,125.0,43.098747,66371.0,10010.14003
5022,Luxury SUV,Basic,Offer1,Unemployed,Single,College,7.0,193.0,1610.261914,0.0,13579.29911
5023,Four-Door Car,Basic,Offer2,Employed,Married,Doctor,1.0,65.0,193.33986,27734.0,2595.558788
5024,SUV,Basic,Offer3,Employed,Single,College,1.0,106.0,337.95778,57283.0,4080.81891
5025,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1.0,96.0,157.440069,70146.0,3839.143697
5027,Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,64.0,460.8,0.0,6763.181497
5028,SUV,Basic,Offer1,Employed,Divorced,College,3.0,117.0,561.6,38898.0,9100.787395
5029,SUV,Basic,Offer1,Medical Leave,Divorced,Bachelor,2.0,114.0,472.280461,27500.0,33718.8424
5030,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,1.0,73.0,350.4,30406.0,2893.313855
5031,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,8.0,72.0,345.6,41154.0,5701.277221
5032,Two-Door Car,Basic,Offer2,Employed,Single,Bachelor,4.0,74.0,14.784843,20920.0,5638.930838
5033,Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,9.0,86.0,301.011106,37308.0,6899.709949
5035,Four-Door Car,Basic,Offer3,Employed,Single,College,2.0,71.0,122.912377,40803.0,8169.513982
5037,Sports Car,Basic,Offer1,Employed,Married,High School or Below,2.0,110.0,134.120531,65348.0,17738.2012
5038,SUV,Premium,Offer3,Unemployed,Single,College,7.0,190.0,1654.202174,0.0,13045.37088
5040,SUV,Basic,Offer1,Employed,Divorced,College,2.0,119.0,571.2,31794.0,14137.23043
5041,SUV,Basic,Offer2,Medical Leave,Married,High School or Below,3.0,108.0,518.4,19189.0,8281.740124
5042,Sports Car,Basic,Offer1,Unemployed,Single,High School or Below,1.0,106.0,763.2,0.0,3849.596697
5043,SUV,Basic,Offer2,Employed,Married,High School or Below,1.0,111.0,532.8,66152.0,4407.97312
5044,Luxury Car,Basic,Offer1,Employed,Single,College,5.0,189.0,765.012123,63936.0,14628.49627
5045,Sports Car,Extended,Offer1,Employed,Married,Bachelor,9.0,125.0,179.125777,52408.0,9890.210998
5046,Luxury SUV,Extended,Offer2,Employed,Married,Bachelor,6.0,211.0,1012.8,23589.0,16570.09009
5047,SUV,Basic,Offer3,Employed,Married,Doctor,5.0,117.0,228.049424,99443.0,9189.518267
5049,Four-Door Car,Extended,Offer4,Unemployed,Single,Bachelor,1.0,84.0,604.8,0.0,2746.90319
5052,Two-Door Car,Basic,Offer3,Employed,Married,College,4.0,66.0,211.515893,62808.0,5365.93282
5053,Four-Door Car,Basic,Offer2,Unemployed,Divorced,College,1.0,63.0,344.288189,0.0,2288.763508
5054,Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,2.0,94.0,435.527845,33232.0,11160.07706
5055,Two-Door Car,Basic,Offer4,Employed,Single,College,1.0,71.0,195.153339,20592.0,2605.599527
5056,Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,4.0,66.0,65.425125,60861.0,5216.914471
5057,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2.0,64.0,147.128736,29697.0,7540.584824
5058,Luxury SUV,Basic,Offer1,Unemployed,Married,College,2.0,199.0,1062.090461,0.0,36695.90627
5059,SUV,Extended,Offer3,Disabled,Married,College,2.0,131.0,754.845659,22872.0,14710.43268
5060,Two-Door Car,Basic,Offer2,Unemployed,Married,College,1.0,63.0,453.6,0.0,2320.516874
5061,Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,1.0,67.0,321.6,76310.0,2701.488341
5062,SUV,Basic,Offer2,Employed,Married,Master,2.0,112.0,229.70752,26140.0,13411.31102
5063,Luxury Car,Extended,Offer1,Employed,Married,Master,8.0,225.0,358.281562,35704.0,18042.47942
5065,SUV,Basic,Offer1,Unemployed,Single,Bachelor,4.0,100.0,648.364172,0.0,6328.180924
5066,Four-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,2.0,94.0,676.8,0.0,22895.34606
5067,Four-Door Car,Extended,Offer1,Employed,Married,College,2.0,96.0,673.780804,45743.0,11280.72641
5068,Four-Door Car,Extended,Offer2,Disabled,Married,High School or Below,1.0,93.0,446.4,16049.0,3587.359906
5070,Two-Door Car,Basic,Offer2,Employed,Single,Bachelor,1.0,72.0,114.429816,61029.0,2836.677371
5071,Four-Door Car,Basic,Offer1,Employed,Married,College,8.0,68.0,63.127223,39604.0,5357.260833
5073,Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,1.0,70.0,504.0,0.0,2466.581354
5074,Four-Door Car,Basic,Offer4,Unemployed,Married,High School or Below,4.0,69.0,331.2,0.0,5201.252168
5075,Two-Door Car,Extended,Offer4,Unemployed,Married,Bachelor,1.0,77.0,436.369797,0.0,2821.002026
5076,Two-Door Car,Basic,Offer1,Employed,Single,High School or Below,4.0,62.0,409.425049,22236.0,4876.315707
5077,Two-Door Car,Basic,Offer2,Unemployed,Single,Bachelor,1.0,72.0,518.4,0.0,2454.589361
5078,Two-Door Car,Extended,Offer1,Employed,Married,High School or Below,2.0,93.0,381.118731,32756.0,18569.50063
5079,Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,7.0,96.0,329.522858,36247.0,7613.193095
5080,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,74.0,355.2,26472.0,2965.71995
5081,Four-Door Car,Extended,Offer3,Medical Leave,Married,College,5.0,79.0,344.693511,23843.0,6120.185345
5082,Four-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,6.0,92.0,441.6,0.0,6481.382268
5083,Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,2.0,71.0,839.593218,0.0,15190.65404
5084,SUV,Basic,Offer3,Unemployed,Single,College,1.0,106.0,763.2,0.0,3588.926491
5085,Four-Door Car,Premium,Offer1,Employed,Divorced,Bachelor,9.0,111.0,186.160527,52373.0,8749.496793
5086,Sports Car,Basic,Offer1,Disabled,Married,Bachelor,1.0,116.0,571.319514,14985.0,4506.577736
5087,Two-Door Car,Extended,Offer2,Unemployed,Married,College,2.0,87.0,46.041452,0.0,15950.01951
5089,SUV,Basic,Offer1,Employed,Married,High School or Below,2.0,100.0,104.331355,66525.0,24261.01777
5090,Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1.0,61.0,292.8,54753.0,2378.667328
5091,Two-Door Car,Extended,Offer1,Employed,Married,High School or Below,9.0,87.0,234.057985,86642.0,7035.974353
5092,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,2.0,63.0,203.226649,90043.0,7681.551777
5093,SUV,Extended,Offer1,Unemployed,Single,Bachelor,6.0,128.0,1448.994134,0.0,8591.305411
5094,Sports Car,Basic,Offer2,Unemployed,Single,Bachelor,3.0,100.0,720.0,0.0,6537.051379
5095,SUV,Basic,Offer3,Employed,Single,Bachelor,9.0,111.0,117.672722,55790.0,8535.108918
5096,Two-Door Car,Extended,Offer4,Employed,Married,Master,2.0,98.0,470.4,58516.0,15806.53397
5097,SUV,Basic,Offer2,Employed,Married,College,7.0,109.0,784.8,27804.0,8492.6988
5098,SUV,Basic,Offer4,Employed,Married,Doctor,1.0,111.0,520.036279,53519.0,4472.334422
5099,SUV,Extended,Offer1,Employed,Married,College,1.0,121.0,486.720776,58946.0,4823.558028
5100,SUV,Basic,Offer1,Employed,Married,High School or Below,1.0,112.0,537.6,90034.0,4528.737362
5102,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,65.0,312.0,95854.0,2632.545795
5103,Two-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,1.0,71.0,497.392925,0.0,2703.266928
5104,Four-Door Car,Extended,Offer2,Employed,Single,Master,1.0,78.0,143.747794,58850.0,3133.503432
5105,SUV,Basic,Offer1,Employed,Married,Doctor,7.0,100.0,344.92729,57664.0,8051.56643
5106,Four-Door Car,Extended,Offer4,Employed,Divorced,Master,7.0,81.0,123.576765,46648.0,6418.24871
5108,Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,3.0,73.0,325.569334,46507.0,5564.957596
5109,Four-Door Car,Extended,Offer1,Employed,Single,High School or Below,3.0,80.0,274.159702,86687.0,6342.473656
5111,SUV,Extended,Offer1,Unemployed,Single,College,5.0,134.0,643.2,0.0,8255.060054
5112,Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,7.0,74.0,532.8,93715.0,6044.020038
5113,Two-Door Car,Basic,Offer3,Employed,Single,Bachelor,2.0,68.0,200.490816,58843.0,8018.503854
5114,SUV,Basic,Offer2,Unemployed,Single,College,9.0,116.0,1339.303486,0.0,8048.371634
5115,Four-Door Car,Basic,Offer3,Unemployed,Married,High School or Below,2.0,70.0,504.0,0.0,7780.903354
5118,Two-Door Car,Basic,Offer2,Employed,Married,College,1.0,70.0,336.0,33104.0,2691.596929
5120,Four-Door Car,Extended,Offer2,Employed,Married,College,7.0,97.0,465.6,43838.0,7644.763153
5121,Four-Door Car,Basic,Offer3,Disabled,Single,High School or Below,1.0,64.0,251.44949,12131.0,2242.090803
5123,Two-Door Car,Basic,Offer1,Employed,Single,College,9.0,69.0,176.242159,54898.0,5417.744055
5124,SUV,Basic,Offer4,Employed,Married,High School or Below,3.0,103.0,411.228571,62375.0,8253.266591
5126,Sports Car,Basic,Offer1,Unemployed,Single,College,1.0,116.0,835.2,0.0,4078.023331
5127,Two-Door Car,Extended,Offer2,Employed,Divorced,Bachelor,1.0,86.0,412.8,58109.0,3380.712383
5128,Two-Door Car,Premium,Offer3,Employed,Married,Master,3.0,117.0,561.6,39770.0,9393.968332
5130,Four-Door Car,Extended,Offer3,Employed,Single,High School or Below,1.0,92.0,495.750669,31727.0,3536.64749
5131,SUV,Extended,Offer1,Medical Leave,Married,Bachelor,3.0,127.0,8.312729,17514.0,9753.307106
5132,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,4.0,69.0,327.647322,95284.0,5603.73932
5133,Four-Door Car,Premium,Offer1,Employed,Married,Bachelor,2.0,109.0,451.566751,34148.0,12883.81001
5134,Sports Car,Basic,Offer2,Disabled,Single,College,6.0,113.0,542.4,17034.0,8300.70769
5135,Four-Door Car,Basic,Offer2,Employed,Single,Doctor,1.0,74.0,355.2,52972.0,2886.232446
5136,Two-Door Car,Basic,Offer3,Employed,Married,Doctor,3.0,61.0,136.291083,70412.0,4930.949334
5137,SUV,Basic,Offer2,Employed,Married,College,5.0,101.0,565.508572,63357.0,8005.964669
5138,Four-Door Car,Extended,Offer1,Unemployed,Single,College,5.0,89.0,342.481173,0.0,6158.601171
5139,SUV,Basic,Offer3,Employed,Married,Doctor,2.0,117.0,561.6,25575.0,14191.59699
5141,Four-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,1.0,81.0,41.182611,89196.0,3241.588659
5142,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,3.0,67.0,193.147858,32365.0,5278.528037
5143,Four-Door Car,Premium,Offer4,Unemployed,Married,College,4.0,105.0,504.0,0.0,7692.456014
5144,SUV,Extended,Offer2,Employed,Married,Bachelor,3.0,132.0,616.349424,76549.0,10507.50144
5145,Sports Car,Premium,Offer1,Disabled,Divorced,College,2.0,195.0,1404.0,21070.0,29049.71315
5146,Four-Door Car,Extended,Offer4,Unemployed,Married,High School or Below,1.0,95.0,456.0,0.0,3432.961074
5147,Two-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,2.0,69.0,368.919773,51584.0,8068.623946
5148,Two-Door Car,Extended,Offer2,Employed,Divorced,Master,9.0,91.0,436.8,23179.0,7179.22522
5149,SUV,Basic,Offer2,Unemployed,Single,College,1.0,119.0,856.8,0.0,3995.358195
5150,Four-Door Car,Extended,Offer3,Unemployed,Divorced,Master,7.0,90.0,144.776935,0.0,6466.304259
5151,Four-Door Car,Extended,Offer3,Employed,Married,College,1.0,94.0,77.778826,46573.0,3781.690691
5152,Two-Door Car,Premium,Offer3,Employed,Married,College,4.0,103.0,494.4,45257.0,8277.74558
5153,Four-Door Car,Basic,Offer2,Unemployed,Divorced,Master,1.0,74.0,355.2,0.0,2774.799523
5154,Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,2.0,69.0,331.2,74460.0,8337.194193
5155,Two-Door Car,Basic,Offer2,Employed,Single,High School or Below,1.0,62.0,297.6,47122.0,2449.31771
5156,SUV,Basic,Offer1,Employed,Married,Bachelor,6.0,119.0,466.122541,34115.0,9422.974113
5157,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,65.0,348.82656,79699.0,2638.140052
5158,Two-Door Car,Extended,Offer1,Unemployed,Married,High School or Below,1.0,92.0,441.6,0.0,3324.551776
5159,Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,2.0,95.0,43.599861,58361.0,15265.81488
5160,Two-Door Car,Premium,Offer2,Employed,Married,Doctor,2.0,114.0,491.322893,50494.0,27542.36956
5161,SUV,Basic,Offer4,Employed,Married,College,4.0,115.0,673.34265,73259.0,9217.130629
5162,SUV,Basic,Offer1,Employed,Divorced,College,1.0,113.0,542.4,56718.0,4371.190437
5163,Two-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,70.0,504.0,0.0,12556.95366
5165,Two-Door Car,Extended,Offer4,Employed,Single,Master,1.0,85.0,314.246507,74918.0,3360.44356
5166,Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,7.0,61.0,439.2,0.0,4242.69282
5167,Sports Car,Basic,Offer1,Unemployed,Single,Bachelor,8.0,107.0,1267.709661,0.0,7706.032636
5168,Four-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,2.0,90.0,432.0,0.0,9112.266649
5170,Four-Door Car,Basic,Offer1,Employed,Divorced,College,1.0,66.0,39.627399,31993.0,2531.73969
5171,Four-Door Car,Basic,Offer1,Disabled,Single,College,8.0,66.0,316.8,14957.0,4763.327142
5172,Sports Car,Basic,Offer3,Retired,Single,Master,1.0,109.0,594.444586,26161.0,4064.670639
5173,Sports Car,Extended,Offer2,Employed,Single,College,1.0,127.0,609.6,21685.0,4858.116042
5174,Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,1.0,74.0,355.2,51622.0,2917.539465
5175,SUV,Basic,Offer2,Unemployed,Single,College,7.0,105.0,756.0,0.0,7751.855026
5176,Two-Door Car,Extended,Offer2,Employed,Married,Master,3.0,85.0,63.161647,42602.0,6511.467626
5177,SUV,Basic,Offer1,Disabled,Divorced,High School or Below,1.0,100.0,514.507039,13093.0,3741.570763
5178,Four-Door Car,Extended,Offer3,Employed,Divorced,High School or Below,1.0,90.0,432.0,36168.0,3549.016697
5179,SUV,Extended,Offer2,Employed,Married,High School or Below,2.0,137.0,863.413385,84306.0,27440.61101
5180,SUV,Basic,Offer2,Employed,Single,Bachelor,1.0,114.0,92.915251,68798.0,4502.679656
5182,Four-Door Car,Basic,Offer1,Disabled,Married,Bachelor,1.0,62.0,297.6,27592.0,2387.60606
5183,Two-Door Car,Extended,Offer2,Employed,Married,College,8.0,78.0,330.872532,73945.0,6243.089247
5184,Two-Door Car,Premium,Offer1,Disabled,Married,College,1.0,110.0,1067.333126,25943.0,4145.711862
5185,Four-Door Car,Extended,Offer2,Employed,Married,Master,2.0,92.0,408.550442,66851.0,22056.00496
5186,Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,2.0,99.0,475.2,82320.0,27443.47482
5187,Sports Car,Basic,Offer3,Disabled,Married,Bachelor,1.0,113.0,542.4,14476.0,4236.84292
5188,Two-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,2.0,68.0,65.471028,64304.0,8056.898119
5189,Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,2.0,79.0,125.194389,22254.0,21903.91364
5190,SUV,Premium,Offer1,Medical Leave,Divorced,College,2.0,146.0,700.8,29439.0,16355.31386
5192,SUV,Extended,Offer2,Employed,Married,College,2.0,135.0,648.0,34455.0,15925.05739
5193,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,61.0,181.218317,20484.0,2389.310128
5194,Four-Door Car,Basic,Offer1,Unemployed,Single,College,9.0,66.0,316.8,0.0,4506.660224
5195,Two-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,7.0,63.0,302.4,0.0,4899.231772
5196,Two-Door Car,Premium,Offer1,Employed,Single,Bachelor,1.0,106.0,508.8,95647.0,4233.56878
5197,Four-Door Car,Premium,Offer3,Employed,Divorced,Master,5.0,105.0,661.608936,49564.0,8355.512557
5198,Four-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,2.0,67.0,321.6,55436.0,10706.66957
5199,Two-Door Car,Basic,Offer4,Employed,Married,College,1.0,69.0,331.2,32437.0,2742.797845
5200,SUV,Basic,Offer2,Retired,Divorced,Bachelor,3.0,118.0,566.4,21442.0,8312.681598
5202,Luxury SUV,Extended,Offer1,Unemployed,Married,High School or Below,5.0,211.0,1012.8,0.0,15700.28436
